title,author,genres
The Cat in the Hat,Dr. Seuss,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor', 'Animals', 'Kids', 'Cats']"
American Gods,Neil Gaiman (Goodreads Author),"['Fantasy', 'Fiction', 'Urban Fantasy', 'Mythology', 'Audiobook', 'Science Fiction', 'Science Fiction Fantasy', 'Adult', 'Contemporary', 'Novels']"
The Count of Monte Cristo,"Alexandre Dumas, Robin Buss (Translator)","['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'France', 'Historical', 'Classic Literature', 'Novels', 'Romance']"
Lonesome Dove,Larry McMurtry,"['Fiction', 'Historical Fiction', 'Westerns', 'Classics', 'Historical', 'Adventure', 'Novels', 'Literature', 'Audiobook', 'American']"
Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods (Translator)","['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Mystery', 'Thriller', 'Crime', 'Historical', 'German Literature', 'Novels']"
Holes,Louis Sachar (Goodreads Author),"['Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'Classics', 'Mystery', 'Adventure', 'School', 'Contemporary']"
"The Lion, the Witch and the Wardrobe",C.S. Lewis,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Middle Grade', 'Christian', 'Magic', 'Christian Fiction']"
Watchmen,"Alan Moore (Goodreads Author), Dave Gibbons (Illustrator/Letterer), John Higgins (Colorist)","['Graphic Novels', 'Comics', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Comic Book', 'Classics', 'Superheroes', 'Dystopia']"
It,Stephen King (Goodreads Author),"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Audiobook', 'Mystery', 'Adult', 'Paranormal', 'Classics', 'Novels']"
The Last Olympian,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Greek Mythology', 'Urban Fantasy', 'Magic']"
The Little House Collection,"Laura Ingalls Wilder, Garth Williams (Illustrator)","['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Juvenile', 'Literature', 'Kids']"
The Divine Comedy,"Dante Alighieri, Allen Mandelbaum (Translator), Eugenio Montale (Introduction)","['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Philosophy', 'Fantasy', 'Italian Literature', 'Italy', 'Classic Literature']"
Peter Pan,"J.M. Barrie, Michael Hague (Illustrator)","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'Audiobook', 'Middle Grade', 'Fairy Tales', 'Literature']"
All Quiet on the Western Front,"Erich Maria Remarque, Arthur Wesley Wheen (Translator)","['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School', 'German Literature', 'World War I', 'Novels']"
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Childrens', 'Epic Fantasy', 'Novels']"
The Compleat Works of Wllm Shkspr (abridged),"Reduced Shakespeare Company, Adam Long (Contributor), Daniel Singer (Contributor), Jess Winfield (Editor)","['Plays', 'Classics', 'Humor', 'Fiction', 'Drama', 'Theatre', 'Comedy', 'Poetry', 'Literature', 'Adult']"
Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman (Translator)","['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Magical Realism', 'Literature', 'Novels', 'Spanish Literature', 'Literary Fiction', 'Historical']"
Shadow Kiss,Richelle Mead (Goodreads Author),"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']"
Insurgent,Veronica Roth (Goodreads Author),"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']"
The Thorn Birds,Colleen McCullough,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Australia', 'Historical', 'Historical Romance', 'Novels', 'Drama', 'Adult']"
A Walk to Remember,Nicholas Sparks (Goodreads Author),"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Young Adult', 'Adult', 'Adult Fiction', 'Drama', 'Contemporary Romance', 'Love']"
How the Grinch Stole Christmas!,Dr. Seuss,"['Childrens', 'Picture Books', 'Christmas', 'Classics', 'Fiction', 'Poetry', 'Holiday', 'Fantasy', 'Humor', 'Kids']"
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Adventure', 'Novels', 'British Literature']"
Atonement,Ian McEwan,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'War', 'Literary Fiction', 'Contemporary', 'Literature', 'Novels']"
The Importance of Being Earnest,Oscar Wilde,"['Classics', 'Plays', 'Fiction', 'Drama', 'Humor', 'Literature', 'School', 'Comedy', 'Theatre', 'Romance']"
"Eat, Pray, Love",Elizabeth Gilbert (Goodreads Author),"['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Chick Lit', 'Romance', 'Spirituality', 'Contemporary', 'Biography Memoir', 'Autobiography']"
Their Eyes Were Watching God,Zora Neale Hurston,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'African American', 'Literature', 'Novels', 'Feminism', 'Read For School', 'High School']"
The Three Musketeers,Alexandre Dumas,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'France', 'Literature', 'Historical', 'French Literature', 'Classic Literature', 'Novels']"
The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow (Illustrator)","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Audiobook', 'Middle Grade', 'Magic', 'Literature']"
Frostbite,Richelle Mead (Goodreads Author),"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']"
Goodnight Moon,"Margaret Wise Brown, Clement Hurd (Illustrator)","['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Juvenile', 'Young Adult', 'Storytime']"
The Lorax,Dr. Seuss,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Environment', 'Young Adult', 'Kids', 'Juvenile']"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman (Goodreads Author)","['Fantasy', 'Fiction', 'Humor', 'Urban Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy', 'Adult', 'Science Fiction', 'Supernatural']"
Blood Promise,Richelle Mead (Goodreads Author),"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']"
Tess of the D'Urbervilles,"Thomas Hardy, Margaret R. Higonnet (Introduction), Maria Grazia Griffini (Translator), Tim Dolin (Notes)","['Classics', 'Fiction', 'Romance', 'Literature', 'Historical Fiction', '19th Century', 'Victorian', 'Classic Literature', 'Novels', 'British Literature']"
The Good Earth,Pearl S. Buck,"['Classics', 'Fiction', 'Historical Fiction', 'China', 'Literature', 'Historical', 'Asia', 'Novels', 'School', 'Classic Literature']"
Heart of Darkness,"Joseph Conrad, Aníbal Fernandes (Translator)","['Classics', 'Fiction', 'Literature', 'Africa', 'Historical Fiction', 'School', 'Novels', 'Read For School', 'Adventure', 'High School']"
The Battle of the Labyrinth,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Greek Mythology', 'Urban Fantasy', 'Magic']"
A Midsummer Night's Dream,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Catherine Belsey (Contributor)","['Classics', 'Plays', 'Fiction', 'Drama', 'Fantasy', 'School', 'Romance', 'Literature', 'Theatre', 'Poetry']"
Clockwork Princess,Cassandra Clare (Goodreads Author),"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Urban Fantasy', 'Angels', 'Fiction', 'Historical']"
The Prophet,Kahlil Gibran,"['Poetry', 'Philosophy', 'Classics', 'Fiction', 'Spirituality', 'Religion', 'Literature', 'Inspirational', 'Self Help', 'Novels']"
The Mists of Avalon,Marion Zimmer Bradley,"['Fantasy', 'Fiction', 'Historical Fiction', 'Arthurian', 'Mythology', 'Science Fiction Fantasy', 'Historical', 'Classics', 'Romance', 'Magic']"
The Titan's Curse,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Greek Mythology', 'Urban Fantasy', 'Magic']"
The Sea of Monsters,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']"
The Joy Luck Club,Amy Tan (Goodreads Author),"['Fiction', 'Historical Fiction', 'Classics', 'China', 'Contemporary', 'Adult Fiction', 'Adult', 'Literature', 'Asia', 'Novels']"
Alice in Wonderland,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Literature', 'Novels', 'Classic Literature', 'Middle Grade']"
The Call of the Wild,"Jack London, Avi (Introduction)","['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature', 'School', 'Childrens', 'Novels']"
Jonathan Livingston Seagull,"Richard Bach (Goodreads Author), Russell Munson (Photographer)","['Fiction', 'Classics', 'Philosophy', 'Fantasy', 'Spirituality', 'Inspirational', 'Self Help', 'Literature', 'Novels', 'Animals']"
Madame Bovary,"Gustave Flaubert, Mark Overstall (Contributor), Paul De Man (Editor), Malcolm Bowie (Introduction), Margaret Mauldon (Translator)","['Classics', 'Fiction', 'France', 'Literature', 'French Literature', 'Romance', '19th Century', 'Novels', 'Historical Fiction', 'Classic Literature']"
The Phantom Tollbooth,"Norton Juster, Jules Feiffer (Illustrator)","['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure', 'Humor', 'Science Fiction Fantasy', 'Juvenile']"
Bridge to Terabithia,Katherine Paterson,"['Young Adult', 'Fiction', 'Classics', 'Childrens', 'Fantasy', 'Middle Grade', 'Realistic Fiction', 'School', 'Juvenile', 'Contemporary']"
The Hunger Games Trilogy Boxset,"Suzanne Collins, Guillaume Fournier (Translator), Pilar Ramírez Tello (Goodreads Author) (Translator), Hanna Hörl (Illustrator), Sylke Hachmeister (Translator), Peter Klöss (Translator)","['Young Adult', 'Fiction', 'Fantasy', 'Dystopia', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Action', 'Novels']"
"Oh, the Places You'll Go!",Dr. Seuss,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult', 'Inspirational', 'Kids', 'Humor']"
The Girl Who Played with Fire,"Stieg Larsson, Reg Keeland (Translator)","['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Sweden', 'Adult', 'Audiobook']"
The Maze Runner,James Dashner (Goodreads Author),"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Adventure', 'Post Apocalyptic', 'Mystery', 'Teen', 'Audiobook']"
The Neverending Story,"Michael Ende, Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'German Literature', 'Middle Grade', 'Science Fiction Fantasy', 'Books About Books']"
Oliver Twist,"Charles Dickens, Philip Horne (Introduction), Gerald Dickens (Narrator), 查尔斯·狄更斯, 吴倩卓 (Translator)","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', '19th Century', 'Classic Literature', 'British Literature', 'Victorian', 'Historical']"
Ulysses,"James Joyce, Morris L. Ernst (Foreword), John M. Woolsey (Foreword)","['Classics', 'Fiction', 'Literature', 'Novels', 'Ireland', 'Irish Literature', 'Unfinished', '20th Century', 'Literary Fiction', 'Banned Books']"
Treasure Island,"Robert Louis Stevenson, David W. Whitehead (Introduction), Richard S. Hartmetz (Goodreads Author) (Editor)","['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Historical Fiction', 'Childrens', 'Literature', 'Pirates', 'Fantasy', 'Novels']"
Fifty Shades of Grey,E.L. James (Goodreads Author),"['Romance', 'Fiction', 'Erotica', 'Adult', 'BDSM', 'Contemporary', 'Chick Lit', 'Contemporary Romance', 'Erotic Romance', 'Adult Fiction']"
The Clan of the Cave Bear,Jean M. Auel,"['Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Classics', 'Romance', 'Adventure', 'Prehistoric', 'Adult', 'Novels']"
A Storm of Swords,George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Adventure', 'Dragons', 'Audiobook', 'Epic']"
The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill (Translator)","['Classics', 'Fiction', 'Poetry', 'Literature', 'School', 'Medieval', 'Short Stories', 'Historical Fiction', 'Classic Literature', 'Read For School']"
The World According to Garp,John Irving (Goodreads Author),"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Novels', 'Literary Fiction', 'Humor', 'American', 'Adult Fiction', 'Drama']"
A Farewell to Arms,Ernest Hemingway,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Literature', 'Novels', 'American', 'Romance', 'Classic Literature', 'School']"
David Copperfield,"Charles Dickens, Jeremy Tambling (Introduction)","['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'Novels', '19th Century', 'British Literature', 'Classic Literature', 'Victorian', 'Audiobook']"
Tote Mädchen lügen nicht,"Jay Asher (Goodreads Author), Knut Krüger (Übersetzer)","['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Mystery', 'Mental Health', 'Teen', 'Audiobook', 'Romance', 'High School']"
Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith (Illustrator)","['Fantasy', 'Fiction', 'Adult', 'Science Fiction Fantasy', 'Retellings', 'Adult Fiction', 'Magic', 'Witches', 'Fairy Tales', 'Classics']"
Shōgun,James Clavell,"['Historical Fiction', 'Fiction', 'Japan', 'Historical', 'Classics', 'Adventure', 'Asia', 'Literature', 'Novels', 'Japanese Literature']"
Extremely Loud & Incredibly Close,Jonathan Safran Foer (Goodreads Author),"['Fiction', 'Contemporary', 'Historical Fiction', 'Novels', 'Adult Fiction', 'Adult', 'Literary Fiction', 'Literature', 'New York', 'Young Adult']"
Murder on the Orient Express,Agatha Christie,"['Mystery', 'Classics', 'Fiction', 'Crime', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Detective', 'Adult', 'British Literature']"
His Dark Materials,Philip Pullman,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Science Fiction Fantasy', 'Science Fiction', 'Adventure', 'Classics', 'Steampunk', 'Magic']"
A Little Princess,"Frances Hodgson Burnett, Nancy Bond (Foreword)","['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical', 'Literature', 'Juvenile', 'Novels']"
The Other Boleyn Girl,Philippa Gregory (Goodreads Author),"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Adult', 'British Literature', 'Historical Romance', 'Tudor Period', 'Chick Lit', 'Adult Fiction']"
Schindler's List,Thomas Keneally,"['History', 'Nonfiction', 'Classics', 'Holocaust', 'War', 'Historical', 'World War II', 'Biography', 'Literature', 'Media Tie In']"
The Boy in the Striped Pajamas,John Boyne,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Holocaust', 'War', 'Classics', 'World War II', 'School', 'Childrens']"
Jurassic Park,Michael Crichton,"['Science Fiction', 'Fiction', 'Thriller', 'Adventure', 'Fantasy', 'Horror', 'Classics', 'Science Fiction Fantasy', 'Dinosaurs', 'Suspense']"
Last Sacrifice,Richelle Mead (Goodreads Author),"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']"
The Night Circus,Erin Morgenstern (Goodreads Author),"['Fantasy', 'Fiction', 'Romance', 'Historical Fiction', 'Magic', 'Young Adult', 'Magical Realism', 'Adult', 'Audiobook', 'Historical']"
Fallen,Lauren Kate (Goodreads Author),"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Angels', 'Paranormal Romance', 'Fiction', 'Supernatural', 'Urban Fantasy', 'Teen']"
The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien (Editor), Ted Nasmith (Illustrator)","['Fantasy', 'Fiction', 'Classics', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Mythology', 'Literature', 'Novels', 'Adventure']"
The Secret Magdalene,Ki Longfellow (Goodreads Author),"['Historical Fiction', 'Fiction', 'Religion', 'Historical', 'Spirituality', 'Novels', 'Contemporary', 'Biblical Fiction', 'Literature', 'Biblical']"
Beloved,Toni Morrison,"['Fiction', 'Classics', 'Historical Fiction', 'Magical Realism', 'Literature', 'African American', 'Historical', 'Novels', 'School', 'Literary Fiction']"
The Trial,"Franz Kafka, Max Brod (Afterword), Willa Muir (Translator), Edwin Muir (Translator)","['Classics', 'Fiction', 'Literature', 'Philosophy', 'German Literature', 'Novels', 'Dystopia', '20th Century', 'Czech Literature', 'Literary Fiction']"
A Confederacy of Dunces,"John Kennedy Toole, Walker Percy (Foreword)","['Fiction', 'Classics', 'Humor', 'Literature', 'Comedy', 'Novels', 'American', 'Literary Fiction', 'Audiobook', 'Contemporary']"
The Sun Also Rises,Ernest Hemingway,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'Historical Fiction', 'Spain', 'School', 'Classic Literature', '20th Century']"
The Selection,Kiera Cass (Goodreads Author),"['Young Adult', 'Romance', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Audiobook', 'Teen', 'Chick Lit', 'Young Adult Fantasy']"
The Velveteen Rabbit,"Margery Williams Bianco, William Nicholson (Illustrator)","['Childrens', 'Classics', 'Fiction', 'Picture Books', 'Fantasy', 'Animals', 'Young Adult', 'Juvenile', 'Kids', 'Short Stories']"
Catching Fire,Suzanne Collins,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']"
The Lost Hero,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Greek Mythology', 'Urban Fantasy', 'Young Adult Fantasy']"
Throne of Glass,Sarah J. Maas (Goodreads Author),"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Magic', 'Young Adult Fantasy', 'High Fantasy', 'New Adult', 'Adventure', 'Paranormal']"
Spirit Bound,Richelle Mead (Goodreads Author),"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']"
Clockwork Prince,Cassandra Clare (Goodreads Author),"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Urban Fantasy', 'Fiction', 'Angels', 'Vampires']"
The Iliad/The Odyssey,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)","['Classics', 'Fiction', 'Poetry', 'Mythology', 'Literature', 'Fantasy', 'Historical Fiction', 'School', 'Adventure', 'Historical']"
The Crucible,"Arthur Miller, Christopher Bigs(Introduction)","['Classics', 'Plays', 'Fiction', 'Historical Fiction', 'Drama', 'School', 'Read For School', 'Historical', 'High School', 'Literature']"
Cat's Cradle,Kurt Vonnegut Jr.,"['Fiction', 'Classics', 'Science Fiction', 'Humor', 'Literature', 'Novels', 'Dystopia', 'American', 'Fantasy', '20th Century']"
The God of Small Things,"Arundhati Roy (Goodreads Author), Claude Demanuelli (Translator), Barbara Auer (Narrator), Diana Quick (Reading), Luana Stoica (trad.), Donada Peters (Narrator), Josep Julià Ballbé (Translator)","['Fiction', 'India', 'Historical Fiction', 'Contemporary', 'Novels', 'Indian Literature', 'Literary Fiction', 'Literature', 'Classics', 'Asia']"
The Wind in the Willows,"Kenneth Grahame, Gillian Avery (Introduction)","['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Animals', 'Young Adult', 'Adventure', 'Literature', 'Middle Grade', 'Audiobook']"
The Screwtape Letters,C.S. Lewis,"['Fiction', 'Classics', 'Christian', 'Religion', 'Christianity', 'Fantasy', 'Theology', 'Christian Fiction', 'Faith', 'Philosophy']"
Girl with a Pearl Earring,Tracy Chevalier (Goodreads Author),"['Historical Fiction', 'Fiction', 'Historical', 'Classics', 'Art', 'Romance', 'Adult Fiction', 'Adult', 'Novels', 'Literature']"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill (Goodreads Author)","['Nonfiction', 'Biography', 'History', 'Christian', 'Classics', 'Memoir', 'Holocaust', 'World War II', 'Historical', 'Autobiography']"
A Light in the Attic,Shel Silverstein,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books', 'Juvenile', 'Middle Grade', 'Banned Books']"
The Silence of the Lambs,Thomas Harris,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'Mystery Thriller', 'Classics', 'Novels', 'Drama']"
Shiver,Maggie Stiefvater (Goodreads Author),"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Werewolves', 'Fiction', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'Teen']"
Uglies,Scott Westerfeld (Goodreads Author),"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Teen', 'Adventure', 'Post Apocalyptic', 'Science Fiction Fantasy']"
City of Fallen Angels,Cassandra Clare (Goodreads Author),"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Vampires', 'Fiction', 'Angels', 'Supernatural', 'Magic']"
Man's Search for Meaning,"Viktor E. Frankl, Harold S. Kushner (Foreword), William J. Winslade (Afterword), Isle Lasch (Translator)","['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Memoir', 'Self Help', 'Biography', 'Classics', 'Holocaust', 'Spirituality']"
She's Come Undone,Wally Lamb (Goodreads Author),"['Fiction', 'Contemporary', 'Chick Lit', 'Adult Fiction', 'Novels', 'Coming Of Age', 'Adult', 'Literary Fiction', 'Drama', 'Mental Illness']"
The Phantom of the Opera,"Gaston Leroux, Alexander Teixeira de Mattos (Translator)","['Classics', 'Fiction', 'Horror', 'Romance', 'Gothic', 'Mystery', 'Historical Fiction', 'France', 'Literature', 'Fantasy']"
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,"['Nonfiction', 'Animals', 'Memoir', 'Dogs', 'Biography', 'Humor', 'Biography Memoir', 'Adult', 'Contemporary', 'Autobiography']"
Ella Enchanted,Gail Carson Levine (Goodreads Author),"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Fairy Tales', 'Childrens', 'Middle Grade', 'Retellings', 'Magic', 'Adventure']"
The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin (Translator)","['Fiction', 'Magical Realism', 'Japan', 'Japanese Literature', 'Fantasy', 'Contemporary', 'Literature', 'Novels', 'Mystery', 'Asia']"
Cinder,Marissa Meyer (Goodreads Author),"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Dystopia', 'Retellings', 'Fiction', 'Fairy Tales', 'Audiobook', 'Young Adult Fantasy']"
The Green Mile,Stephen King (Goodreads Author),"['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Mystery', 'Supernatural', 'Paranormal', 'Crime', 'Drama', 'Historical Fiction']"
Blindness,José Saramago,"['Fiction', 'Dystopia', 'Science Fiction', 'Classics', 'Novels', 'Literature', 'Portugal', 'Horror', 'Portuguese Literature', 'Contemporary']"
A Clash of Kings,George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Adventure', 'Dragons', 'Audiobook', 'Epic']"
The Sound and the Fury,William Faulkner,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', '20th Century', 'Southern Gothic', 'Southern', 'Literary Fiction', 'School']"
The Shack,William Paul Young,"['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Spirituality', 'Faith', 'Inspirational', 'Christianity', 'Adult Fiction', 'Adult']"
Marked,"P.C. Cast (Goodreads Author), Kristin Cast (Goodreads Author)","['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Supernatural', 'Urban Fantasy', 'Paranormal Romance', 'Teen']"
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows","['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'World War II', 'Book Club', 'War', 'Adult', 'Adult Fiction', 'Books About Books']"
For Whom the Bell Tolls,Ernest Hemingway,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'War', 'Novels', 'American', 'Spain', 'Classic Literature', 'Literary Fiction']"
Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman (Illustrator)","['Fiction', 'Classics', 'Humor', 'Journalism', 'Novels', 'American', 'Literature', 'Contemporary', 'Travel', 'Comedy']"
The House of the Spirits,"Isabel Allende (Goodreads Author), Magda Bogin (Translator)","['Fiction', 'Magical Realism', 'Historical Fiction', 'Classics', 'Fantasy', 'Spanish Literature', 'Literature', 'Historical', 'Novels', 'Latin American']"
The Complete Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comedy', 'Classics', 'Graphic Novels Comics', 'Comic Strips', 'Childrens', 'Comic Book']"
Roots: The Saga of an American Family,Alex Haley,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'African American', 'Africa', 'Race', 'Literature', 'Audiobook', 'Novels']"
Misery,Stephen King (Goodreads Author),"['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Novels', 'Adult', 'Mystery Thriller', 'Crime', 'Drama']"
Howl's Moving Castle,Diana Wynne Jones,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Magic', 'Middle Grade', 'Childrens', 'Adventure', 'Classics', 'Young Adult Fantasy']"
Stranger in a Strange Land,Robert A. Heinlein,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels', 'Speculative Fiction', 'Philosophy', 'Religion', 'Audiobook']"
Island of the Blue Dolphins,Scott O'Dell,"['Young Adult', 'Fiction', 'Historical Fiction', 'Classics', 'Childrens', 'Middle Grade', 'Adventure', 'Historical', 'School', 'Survival']"
Midnight Sun [2008 Draft],Stephenie Meyer,"['Young Adult', 'Fantasy', 'Vampires', 'Romance', 'Paranormal', 'Fiction', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'Teen']"
The Girl Who Kicked the Hornet's Nest,"Stieg Larsson, Reg Keeland (Translator)","['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Sweden', 'Audiobook']"
